MarkerNum,Atlas_Number,Title,IndexName,Address,City,County,CountyId,Utm_Zone,Utm_East,Utm_North,Code,Year,Rthl,Htc,Loc_Desc,PrivateProperty,ConditionText,Size,MarkerText,HasFiles,HasImages,HasMapLocation,latitude,longitude
15,5259000015,"""Treue Der Union""","""Treue Der Union""",                                                                                                                                                                                                        ,Comfort,Kendall,130,14,508319.0,3315440.0,monuments; Civil War; German immigrants/immigration,1968.0,False,False,"between 2nd and 3rd Streets, High Street, between 2nd and 3rd, Comfort",False,In Situ,"18"" x 28""","(""Loyalty to the Union"") This German language monument, erected 1866, honors the memory of 68 men (mostly Germans) from this region who were loyal to the Union during the Civil War. Trying desperately to reach U.S. Federal troops by way of Mexico, about 40 of the men were killed by vengeful Confederates bent on annihilating them, in the Battle of the Nueces (on Aug. 10, 1862) and a later fight (Oct. 18). The bodies of the slain and those who drowned swimming the Rio Grande were left unburied. A group of Germans gathered the bones of their friends and buried them at this site in 1865. (1968)",False,False,True,29.969781204541796,-98.913772115551
37,5027000037,"Second Armored Division, U. S. Army",,,Killeen,Bell,14,14,619129.0,3445527.0,World War II; military topics,1975.0,False,False,"At Memorial Park off Battalion Ave and 52nd St., Fort Cavazos, Killeen",False,In Situ,"27"" x 42""","Gen. Patton's ""Hell on Wheels,"" the 2nd Armored Division, United States Army Formed to meet 20th century challenges, this force includes Battery A, 1st Battalion, 3rd Field Artillery, which has been in service since 1778. That battery and other veteran units have found new capabilities in this age of mechanized combat involving lightning mobility and massive firepower. In 1940, as German panzers overran France, the United States Congress created the 1st and 2nd American Armored Divisions. The 2nd was organized July 15, 1940, at Fort Benning, Ga., by Gen. Charles L. Scott, and received its ""Hell on Wheels"" name in 1941 from Gen. George S. Patton, Jr. First U.S. armored force in combat in World War II, ""Hell on Wheels"" landed in North Africa on Nov. 8, 1942. It won great victories at Safi and Casablanca, in the assault on Sicily, the 1944 Normandy invasion, the Battle of the Bulge, and other campaigns. Along 11,702 miles of combat advance, the 2nd won 7 French Croix de Guerres, 19 Distinguished Unit citations, and was first foreign division ever given the Fourragere of Belgium. The 2nd provided Honor Guard for President Harry S. Truman at the Potsdam peace conference. Since 1945 Fort Hood has been 2nd's permanent base. (1975)",False,False,True,31.137631959895536,-97.75038046979455
89,5123000089,Union Veteran 2nd. Lt. Adolph Strieber,"Strieber, Adolf, 2nd. Lt., Union Veteran",1335 Westside Cemetery Rd                                                                                                                                                                              ,Yorktown,DeWitt,59,14,644114.0,3207807.0,Civil War; military topics,1964.0,False,False,"Westside Cemetery, close to entrance gate 1",False,In Situ,grave marker,"Co. G, 16th Illinois Cavalry from Apr. 1, 1863 to Aug. 15, 1865. Enlisted as private in Springfield, Ill., after crossing Confederate lines by walking, stagecoach and steamboat. Like many Texas Germans, he felt U.S. should be kept together. Born in Zellerfield, Germany. Came to Texas via Old Indianola with parents in 1846. Married Marie Wagenschien 1866. Pioneer merchant. Prominent citizen. Recorded - 1964",False,False,True,28.99024774303716,-97.52061577123783
94,5439000094,Ahavath Sholom Hebrew Cemetery,Ahavath Sholom Hebrew Cemetery,411 N. University Blvd.                                                                                                                                                                            ,Fort Worth,Tarrant,220,14,653508.0,3626159.0,cemetery; World War II; Jewish topics,1992.0,False,False,"Ahavath Sholom Hebrew Cemetery entrance, west side of N. University Blvd. between Trinity River and White Settlement Rd.",False,In Situ,"27"" x 42""","Wishing to have their own cemetery, congregation Ahavath Sholom, the first Jewish congregation in Fort Worth, purchased a six-acre tract from the Greenwood Cemetery Association at this location and dedicated Ahavath Sholom Hebrew Cemetery in 1909. A Ladies Cemetery Society was formed in that year to oversee the upkeep of the graveyard; Rebecca Goldstein served as its initial president. The first person buried here was Charles Hurwitz in 1910. In 1929 an agreement between the congregation and the Greenwood Cemetery Association resulted in the enlargement of this Jewish cemetery. Three soldiers who perished during World War II are buried side by side in the north section of the cemetery. A large monument memorializing the millions of Jewish victims of the German Nazi Regime in World War II Europe (1939-1945) was erected by members of the congregation who lost relatives in the Holocaust. The Kornbleet Chapel, which contains seating for one hundred persons, was dedicated in 1988. The chapel is used for funeral services as well as other religious services pertaining to the cemetery. The congregation established a trust fund for the long-term maintenance of the cemetery. (1992) (1992)",False,False,True,32.76261355394593,-97.36119202971132
97,5029000097,Alamo Masonic Cemetery,Alamo Masonic Cemetery,1700 E. Commerce St.,San Antonio,Bexar,15,14,551507.0,3254709.0,cemetery; fraternal organizations,1984.0,False,False,"E. Commerce St., San Antonio. Marker may be missing.",False,Missing,"18"" x 28""","Chartered in 1848, Alamo Lodge Number 44, Ancient Free and Accepted Masons, purchased this property in 1853-54 out of concern for the need of a burial ground for fellow Masons. The oldest remaining marked grave is that of S. Fredericca Hummel (1829-1854), a native of Germany who came to San Antonio in 1847. The first Masonic burial was for Missourian Charles Taplin, who died in 1855. One of the earliest Masonic grounds in Texas, Alamo Masonic Cemetery contains the graves of many immigrants who settled in San Antonio during the 19th and early 20 centuries. (1984)",False,False,True,29.420652397525103,-98.46902019556177
105,5141000105,Alderete-Candelaria House,Alderete-Candelaria House,122 S. Old Pueblo Rd.                                                                                                                                                                                   ,El Paso,El Paso,70,13,377455.0,3511809.0,"houses, residential buildings",1984.0,False,False,,False,In Situ,"27"" x 42""","Although the exact building date for this adobe masonry structure is unknown, it appears to have been constructed during the 1870s for Benigno Alderete (1845-1916). Born in Ysleta (now part of El Paso), Alderete served at various times as a Texas Ranger, county commissioner, and town mayor. The residence became known as the Candelaria House after Alderete's granddaughter Ester married Alex Candelaria, whose family also had been leaders in early El Paso County history. The large ""L"" shaped house and courtyard originally shared the property with a corral, irrigation ditch, and agricultural field. Built with the help of the neighboring Tigua Indians, the house exhibits many examples of their construction techniques. While Alderete's descendants continued to live in parts of the structure until 1969, other parts have been used for a variety of purposes. The house served as an outbuilding for the nearby mission, as a temporary courthouse, gristmill, school, dance hall, puppet show theatre, movie house, and county office building. The style and usage of the Alderete-Candelaria House attest to the blending of Spanish, Indian, and American influences in the area. This cultural mix is an important part of El Paso County history. (1984) ",False,False,True,31.735164187489477,-106.29363140165938
131,5325000131,Alsatians of Texas,Alsatians of Texas,                                                                                                                                                                                                        ,Castroville,Medina,163,14,511754.0,3247464.0,immigration; Alsatian immigrants/immigration; colonization,1985.0,False,False,"Houston Square, Castroville.",False,In Situ,"27"" x 42""","In 1842, Empresario Henry Castro brought his first colonists to Texas to settle land west of the Medina River. Most of the immigrants were from the Rhine River area of Europe. Many claimed the province of Alsace, on the border of France and Germany, as their homeland. The Alsatian colonists brought with them their combined French and German heritage, which has left a distinctive mark on this area of the state. In 1844, Castro laid out a townsite, which the settlers chose to name Castroville. It became the center of Alsatian culture in Texas. The houses, European in style, are primarily single-story dwellings of cut limestone, mortared with adobe, and white-washed. Over the years, farming has been the major occupation of people in the area, as it was in Alsace. The Alsatian immigrants and their descendants have made a distinct impression on area politics, holiday customs, cusine, and religion. Winemaking, using grapes grown along the Medina River, is another early tradition that has continued over the years. The history of Alsatians in Texas is a reflection of ethnic and cultural diversity in the state's rich heritage. (1985)",False,False,True,29.356266229526025,-98.87890476938287
146,5375000146,"Amarillo Natatorium (""The Nat"")",Amarillo Natatorium,2705 SW 6th Ave.,Amarillo,Potter,188,14,239036.0,3900225.0,buildings; commercial buildings; opera houses and theatre; restaurants,1996.0,False,False,"2705 West 6th, Amarillo",False,In Situ,"18"" x 28""","The Natatorium, an open air building surrounding a swimming pool that measured 36' by 101', opened in July 1922. ""The Nat"" was enclosed in 1923 for year-round use. In 1926 the building was converted into a dance hall with 10,000 square feet of maple flooring covering the pool area. ""The Nat"" also provided dining and at its peak employed 40 staff members. Well known bands traveling along Route 66 often stopped here to entertain. Though closed as a public dance hall in the 1960's, ""The Nat"" served the Amarillo area as a significant social center for decades. (1996)",False,False,True,35.21114596804717,-101.86680817809828
186,5325000186,Arcadius Steinle House,"Steinle, Arcadius",1416 Florella St                                                                                                                                                                                        ,Castroville,Medina,163,14,511826.0,3247676.0,"houses, residential buildings",1962.0,True,False,1416 Florella St.,False,In Situ,"18"" x 28""","A native of Hettingen, Prussia, and a mason by trade, Arcadius Steinle emigrated to the U.S. in 1844 and moved to Castroville the next year. In 1847, he wed Marie Ann Dreyer and began construction of this home, where they reared six children. Arcadius died in 1858, and in 1858 Marie wed his brother, Franz. To the union were born five more children. The home later passed to son Henry Steinle, and it remained in the family until 1946. Built in phases to accommodate the growing family, it is a vernacular, side-gable house of stucco over rubble stone and a rear ell of timber frame and stone. Features include a central entry flanked by paired windows. Recorded Texas Historic Landmark-1962 ",False,False,True,29.35817895306282,-98.8781607159451
206,5123000206,Arneckeville,Arneckeville,                                                                                                                                                                                                        ,Cuero,DeWitt,59,14,668727.0,3209180.0,cities and towns; German immigrants/immigration,1983.0,False,False,"from Cuero, take FM 236 row about 7 miles south",False,In Situ,"18"" x 28""","A native of Germany, Adam Christopher Henry Arnecke settled in this area in the 1850s and opened the community's first general store. Originally known as Zionsville, the settlement later was named for Arnecke. By the end of the 19th century, Arneckeville had blacksmith shops, doctors' offices, a cotton gin, post office, school, and a church, Zion Lutheran, that was organized in 1865. Although the small German community began to decline when a farm-to-market road was built to Cuero (7 miles north), it has retained much of its pioneer heritage.",False,False,True,28.99961786998322,-97.26783597579552
